nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17
P3,Intensity Max,249,249,249,0,249,249,249,249,1,,Surface,1,,Image 1,,60,
P3,Intensity Max,253,253,253,0,253,253,253,253,1,,Surface,1,,Image 1,,61,
P3,Intensity Max,254,254,254,0,254,254,254,254,1,,Surface,1,,Image 1,,62,
P3,Intensity Max,251,251,251,0,251,251,251,251,1,,Surface,1,,Image 1,,63,
P3,Intensity Max,240,240,240,0,240,240,240,240,1,,Surface,1,,Image 1,,64,
P3,Intensity Max,245,245,245,0,245,245,245,245,1,,Surface,1,,Image 1,,65,
P3,Intensity Max,292,292,292,0,292,292,292,292,1,,Surface,1,,Image 1,,66,
P3,Intensity Max,240,240,240,0,240,240,240,240,1,,Surface,1,,Image 1,,67,
P3,Intensity Max,231,231,231,0,231,231,231,231,1,,Surface,1,,Image 1,,68,
P3,Intensity Max,251,251,251,0,251,251,251,251,1,,Surface,1,,Image 1,,69,
P3,Intensity Max,241,241,241,0,241,241,241,241,1,,Surface,1,,Image 1,,70,
P3,Intensity Max,223,223,223,0,223,223,223,223,1,,Surface,1,,Image 1,,71,
P3,Intensity Max,222,222,222,0,222,222,222,222,1,,Surface,1,,Image 1,,72,
P3,Intensity Max,251,251,251,0,251,251,251,251,1,,Surface,1,,Image 1,,73,
P3,Intensity Max,238,238,238,0,238,238,238,238,1,,Surface,1,,Image 1,,74,
P3,Intensity Max,234,234,234,0,234,234,234,234,1,,Surface,1,,Image 1,,75,
P3,Intensity Max,260,260,260,0,260,260,260,260,1,,Surface,1,,Image 1,,76,
P3,Intensity Max,260,260,260,0,260,260,260,260,1,,Surface,1,,Image 1,,77,
P3,Intensity Max,237,237,237,0,237,237,237,237,1,,Surface,1,,Image 1,,78,
P3,Intensity Max,209,209,209,0,209,209,209,209,1,,Surface,1,,Image 1,,79,
P3,Intensity Max,234,234,234,0,234,234,234,234,1,,Surface,1,,Image 1,,80,
